类目,APP指令中心标题,百炼prompt模版,百炼prompt示例,en_example
Office Assistant,Weekly Report Assistant,Please write a weekly report for the following work content to show the progress with data support and make a to-do list: ${theme},将工作概要整理成周报，依次罗列带有数据的进展、明确下阶段todo。工作内容是：熟悉新环境，上线新功能,Please write a weekly report for the following work content to show the progress with data support and make a to-do list: Familiarize yourself with the new environment and launch new features
Office Assistant,Job Hunting Assistant,Please give advice on career planning and job hunting preparation with a professional tone based on my industry. My industry is ${industry}.,请根据我的行业，依次给出职业规划、求职准备的建议，措辞要专业。我的目标行业是：计算机软件,Please give advice on career planning and job hunting preparation with a professional tone based on my industry. My industry is Computer Software.
Office Assistant,Resume Assistant,"You are good at writing resumes that (1) are concise and clear, and (2) show personal highlights. Please write a resume based on the following requirements: ${require}",你擅长写简历：1.简洁明了；2.突出个人亮点 现在你需要根据以下需求写简历：三年实习经历,"You are good at writing resumes that (1) are concise and clear, and (2) show personal highlights. Please write a resume based on the following requirements: Three years internship experience"
Creative Copy,Blessing Writer,"You are good at writing blessings that are (1) sincere and warm enough to express good wishes, and (2) tailored for occasions or personal characteristics. Please write a blessing based on the following requirements: ${theme}",你擅长写祝福语：1.祝福要真挚温馨，表达美好愿望；2.可以结合具体场合或个人特点 现在你需要根据以下需求写祝福语：新年好,"You are good at writing blessings that are (1) sincere and warm enough to express good wishes, and (2) tailored for occasions or personal characteristics. Please write a blessing based on the following requirements: good new year"
Life Pleasure,High-EQ Reply,You can always give high-EQ replies to my questions. Please give a high-EQ reply to the following question: ${question},你是一个高情商的人，针对我给的问题，都可以给出高情商的回复。我的问题是：亲戚问我月薪多少,You can always give high-EQ replies to my questions. Please give a high-EQ reply to the following question: My relatives asked me how much my monthly salary
Creative Copy,Product Review,You are an experienced e-commerce buyer. Please write ${num1} positive reviews for the ${product} to reflect its features of ${feature}. Each review must be at least ${word_count} words in length. ,你是一名有经验丰富的电商买手。请为电冰箱写3条好评，要求体现易用、性价比高的特点。每条评价不少于15字。,You are an experienced e-commerce buyer. Please write 3 positive reviews for the Refrigerator to reflect its features of Easy to use and cost-effective. Each review must be at least 15 words in length.
Creative Copy,Character Biography,You are good at writing biographies that (1) vividly tell the life story of a character and (2) highlight the theme. Please write a biography based on the following requirements: ${theme},你擅长写传记：1.生平事迹生动呈现；2.突出主题 现在你需要根据以下需求写传记：撰写马斯克的人物传记,You are good at writing biographies that (1) vividly tell the life story of a character and (2) highlight the theme. Please write a biography based on the following requirements: Writing a biography of Musk
Creative Copy,Movie Screenplay Writer,You are good at writing movie screenplays that (1) contain key plots and (2) create characters with rich personalities. Please write a movie screenplay based on the following requirements: ${theme},你擅长写电影剧本：1.包含关键情节；2.人物性格丰富 现在你需要根据以下需求写电影剧本：秋季恋歌,You are good at writing movie screenplays that (1) contain key plots and (2) create characters with rich personalities. Please write a movie screenplay based on the following requirements: Autumn Love Song
Creative Copy,Short Video Comment Assistant,"You are good at writing short video comments that (1) spotlight the highlights of the video, (2) feature vivid language, and (3) provide positive content. Please write a comment based on the following short video content: ${comments}",你擅长写短视频评论：1.突出视频亮点；2.语言生动；3.应积极向上 现在你需要根据视频内容写短视频评论：广场放烟花很好看,"You are good at writing short video comments that (1) spotlight the highlights of the video, (2) feature vivid language, and (3) provide positive content. Please write a comment based on the following short video content: Fireworks in the square are very beautiful"
Creative Copy,High-quality Movie Review Assistant,You are good at writing movie reviews with (1) in-depth analysis of movie elements and (2) clear private opinions. Please write a review for the following movie: ${movie},你擅长写影评：1.深入剖析电影要素；2.个人观点明确 现在你需要根据电影名写影评：《教父》,"You are good at writing movie reviews with (1) in-depth analysis of movie elements and (2) clear private opinions. Please write a review for the following movie: ""The Godfather"""
Creative Copy,Reading Response Generator,You are good at writing reading responses that (1) highlight the plot of a book and (2) show deep personal insights. Please write a reading response for the following book: ${book},你擅长写读后感：1.突出书中情节；2.个人感悟深刻 现在你需要根据书名写读后感：《三体》,You are good at writing reading responses that (1) highlight the plot of a book and (2) show deep personal insights. Please write a reading response for the following book: The Three-Body
Office Assistant,Daily Report Assistant,"You are good at writing daily reports that (1) clearly outline key points, (2) provide work progress and issue feedback, and (3) use concise language. Please write a daily report based on the following requirements: ${theme}",你擅长写日报：1.内容要点明确；2.包含工作进展和问题反馈；3.语言简练。 现在你需要根据以下需求写日报：完成了实验并修改了论文,"You are good at writing daily reports that (1) clearly outline key points, (2) provide work progress and issue feedback, and (3) use concise language. Please write a daily report based on the following requirements: Completed the experiment and revised the paper"
Creative Copy,Programmer Jokes,You are good at writing programmer jokes that (1) are funny enough and (2) center around a specific computer-related feature that is understandable to programmers. Please write a joke based on the following theme: ${theme},你擅长写笑话且懂得程序员的梗：1. 写的笑话要有趣；2. 笑话的出发点和落脚点是计算机相关的某一个特点，程序员可以理解。基于“苹果”写这个笑话,"You are good at writing programmer jokes that (1) are funny enough and (2) center around a specific computer-related feature that is understandable to programmers. Please write a joke based on the following theme: ""Apple"""
Creative Copy,Takeaway Reviewer,"You are good at writing takeaway reviews with (1) attention to details and appropriateness, as well as (2) relevant and convincing content. Please write a takeaway review based on the following requirements: ${theme}",你擅长给外卖写点评：1. 点评细致到位；2. 点评内容有针对性有理有据。现在你需要根据以下需求写一段外卖点评文案：我刚买的麻辣烫,"You are good at writing takeaway reviews with (1) attention to details and appropriateness, as well as (2) relevant and convincing content. Please write a takeaway review based on the following requirements: I just bought the malatang"
Learning Assistant,AI Translator,You are a native English speaker. Please translate the following input into English: ${theme},你是一个专业的英文老师，请将输入内容翻译为英文。我的输入为：千里之行，始于足下,You are a native English speaker. Please translate the following input into English: A journey of a thousand miles begins with one step.
Learning Assistant,Question and Answer Generator,You are good at generating questions and providing answers to them. Please generate a question and provide the answer based on the following requirements: ${require},你擅长根据需求出题并提供答案解析，请根据以下题目要求，出一道题目并提供详细的答案解析：根据注册会计考试题型要求出一道选择题,You are good at generating questions and providing answers to them. Please generate a question and provide the answer based on the following requirements: According to the registered accounting examination questions require a multiple choice question
Learning Assistant,Learning Plan Station,You are good at making learning plans. Please make an effective learning plan for a student based on the following conditions: ${plan},你擅长制定学习计划，基于以下学生的情况，请为其制定一个有效的学习计划：零基础学Python,You are good at making learning plans. Please make an effective learning plan for a student based on the following conditions: Zero-based Python
Life Pleasure,Daily Encouragement,You are good at cheering people up. Please generate a piece of content that is around ${number} words in length based on the following keywords to encourage someone to work hard and achieve success: ${keyword},你擅长给人加油鼓劲，根据给出关键词，请生成一段15字左右激励好好工作，登上人生巅峰的内容。我的关键词是：工作,You are good at cheering people up. Please generate a piece of content that is around 15 words in length based on the following keywords to encourage someone to work hard and achieve success: Work
Life Pleasure,Scenic Spot Recommender,"You are an experienced tour guide who can recommend scenic spots based on the weather and local customs of the destination, as well as the budget and schedule of the tourist. Please recommend scenic spots at the following destination: ${destination}",你是一位经验丰富的导游，会结合旅游目的的天气、当地风俗习惯、游客预算以及时间规划安排做景点推荐，旅游目的地是：长沙,"You are an experienced tour guide who can recommend scenic spots based on the weather and local customs of the destination, as well as the budget and schedule of the tourist. Please recommend scenic spots at the following destination: Changsha"
Life Pleasure,Food Recommender,You are a senior food expert and are good at food recommendation. Please recommend the top 10 different local foods at the following destination and give your reasons: ${destination},你是一位资深美食专家，擅长做美食推荐，请告诉我当地的十大美食，以及推荐理由，推荐美食不要重复，我提供的地方是：南京,You are a senior food expert and are good at food recommendation. Please recommend the top 10 different local foods at the following destination and give your reasons: China (Nanjing - Local Region)
Creative Copy,Posting on WeChat Moments,You are good at creating WeChat Moments posts that are (1) attractive enough to get thumbs up and (2) concise and comprehensive. Please create a post that is 1 to ${number} words in length based on the following theme: ${theme},你擅长写朋友圈文案：1.文案会吸引众人点赞；2.言简意赅，30字以内。输入主题：我得奖了,You are good at creating WeChat Moments posts that are (1) attractive enough to get thumbs up and (2) concise and comprehensive. Please create a post that is 1 to 30 words in length based on the following theme: I won the prize
Creative Copy,Popular Copy Generator,"You are an outstanding copywriter who can write popular copies that (1) are creative and easy-to-pass, and (2) use understandable wording and align well with the theme. Please write a copy based on the following theme: ${theme}",你是一个卓越的文案编辑师：1.编辑的文案有创意，易传播成为爆点；2.措辞有传播性、通俗易懂且契合主题。请输入话题：丝巾,"You are an outstanding copywriter who can write popular copies that (1) are creative and easy-to-pass, and (2) use understandable wording and align well with the theme. Please write a copy based on the following theme: Silk Scarf"
Creative Copy,Abstract Generator,You are good at generating abstracts for articles. Please generate an abstract that is 1 to ${word_count} words in length for the following article content: ${content},你是一名专业的文章内容摘要专家，请根据我提供的文章内容生成摘要。字数不超过30字。文章内容：多位业内人士表示，人民银行在2024年初同时宣布采取上述降准和定向降息两种工具，显示出当前货币政策对普惠金融的发力，以及对精准有效基调的追求，并释放了四个信号：一是货币政策宽松信号，加大逆周期调节力度，总量和结构性工具并重发力；二是扩需求、稳增长，以提振预期和信心；三是货币政策继续坚持以我为主，兼顾实现内外部均衡；四是继续营造良好的货币金融环境，为重大战略、重点领域和薄弱环节提供优质金融服务，稳定资本市场和信心。,"You are good at generating abstracts for articles. Please generate an abstract that is 1 to 30 words in length for the following article content: A number of industry insiders said that the People's Bank of China in the 2024 at the beginning of the year, it announced the adoption of the above-mentioned two tools, namely, RRR and targeted interest rate cuts, showing the current monetary policy's power to inclusive finance and the pursuit of a precise and effective tone, and released four signals: First, the monetary policy easing signal, Increase the intensity of counter-cyclical adjustment, and focus on both total and structural tools; the second is to expand demand and stabilize growth to boost expectations and confidence; third, monetary policy will continue to focus on us, taking into account the realization of internal and external balance; fourth, we will continue to create a good monetary and financial environment, provide high-quality financial services for major strategies, key areas and weak links, and stabilize capital markets and confidence."
Creative Copy,Copy Polishing,You are an expert in copy polishing. Please polish and rewrite the following copy to make it ${requirement} and achieve the effect of ${expection}: ${content},你是一名专业的文案润色专家，请根据我提供的文案进行润色改写。要语言简洁、风趣，希望达到童话故事叙事的效果。文案是此地无银三百两是一个汉语成语，其含义是指某人想要隐瞒或掩饰某些东西，但最终因为自己的言行或其他原因而使得这些意图曝光，导致原本想要隐藏的事物反而被更多的人知晓。,"You are an expert in copy polishing. Please polish and rewrite the following copy to make it The language is concise and funny and achieve the effect of fairy tale narrative: There is no silver here. Three hundred and twenty is a Chinese idiom. Its meaning is that someone wants to hide or cover up something, but in the end, because of his words and deeds or other reasons, these intentions are exposed, resulting in more people knowing what he originally wanted to hide."
Creative Copy,Copy Style Adjusting,You are an expert in adjusting the copy style. Please rewrite the following copy in ${num1} different styles to make it more ${expection}: ${content},你是一名专业的文案风格改写专家，请将我提供的文案用3种不同的文言文风格改写的更加古朴、诗意。我的文案是今天的天气真好,You are an expert in adjusting the copy style. Please rewrite the following copy in 3 different styles to make it more Simple and poetic: Today's weather is really good
Creative Copy,Novel Writer,"You are a best-selling novel writer with outstanding creative ability. Your novels have (1) gorgeous and smooth wording, and (2) content that is full of suspense and proceeds in a progressive way. Please write a novel based on the following title: ${title}",你是个畅销小说作家，创作能力出众：1.措辞华丽流畅；2.内容层层叠进、藏有悬疑。输入小说标题：四体,"You are a best-selling novel writer with outstanding creative ability. Your novels have (1) gorgeous and smooth wording, and (2) content that is full of suspense and proceeds in a progressive way. Please write a novel based on the following title: Four-body"
Creative Copy,Poetry Creation,You are a poet and can write a poem that conforms to the style and genre requirements based on the given content elements and theme. Note that repeated paragraph content is not allowed. Please write a poem based on the following title: ${title},假如你是一位诗人，请你结合我提供给你的内容元素、主题，为我写出符合文体、体裁的诗词，段落内容不要重复。我的题目是：人生旅途,You are a poet and can write a poem that conforms to the style and genre requirements based on the given content elements and theme. Note that repeated paragraph content is not allowed. Please write a poem based on the following title: Journey of Life
Creative Copy,Scheme Production,"You can produce a scheme, including crafting the scheme outline and creating its content, based on the given industry, project, or activity information. Please produce a scheme based on the following content: ${theme}",根据提供的行业、项目或活动信息，进行方案创作，列出方案提纲、编写方案内容。提供的内容是：APP产品发布策划案,"You can produce a scheme, including crafting the scheme outline and creating its content, based on the given industry, project, or activity information. Please produce a scheme based on the following content: App product release plan"
Creative Copy,Speech Writer,"You are good at writing speeches that (1) meet format requirements, (2) use concise and plain language, (3) provide vivid and convincing examples, and (4) highlight key points while aligning with the theme. Please write a speech based on the following theme: ${theme}",你擅长演讲稿撰写：1.符合演讲稿格式要求；2.语言简单明了；3.举例生动有说服力；4.内容突出重点，贴合主题。请撰写演讲稿：人工智能的发展,"You are good at writing speeches that (1) meet format requirements, (2) use concise and plain language, (3) provide vivid and convincing examples, and (4) highlight key points while aligning with the theme. Please write a speech based on the following theme: Development of Artificial Intelligence"
Creative Copy,Work Evaluation,"You are good at writing work evaluations to (1) highlight the strengths of employees, (2) point out the areas where they need improvement, and (3) keep them motivated. Please write a work evaluation for an employee in the following position: ${job}",你擅长写工作评价：1.突出优点；2.指出改进空间；3.鼓励积极进取。 需评价的岗位是：产品经理,"You are good at writing work evaluations to (1) highlight the strengths of employees, (2) point out the areas where they need improvement, and (3) keep them motivated. Please write a work evaluation for an employee in the following position: Product Manager"
Creative Copy,Catchy Slogan,"You are good at writing slogans that (1) are short but empowering, (2) spotlight highlights, and (3) resonate with intended audience. Please write a slogan based on the following requirements: ${theme}",你擅长写宣传口号：1.简短有力；2.突出亮点；3.引发共鸣。 现在你需要根据以下需求写宣传口号：奶茶,"You are good at writing slogans that (1) are short but empowering, (2) spotlight highlights, and (3) resonate with intended audience. Please write a slogan based on the following requirements: Milk tea"
Creative Copy,Argumentative Essay Writer,"You are good at writing argumentative essays that (1) comprise claims, evidence, and the argumentation process, and (2) convince readers of your claims from multiple perspectives. Please write an argumentative essay based on the following requirements: ${theme}","你擅长写议论文：1.需要包括论点、论据和论证过程；2.需要多角度地分析、论证论点
现在你需要根据以下需求写议论文：结婚的必要性","You are good at writing argumentative essays that (1) comprise claims, evidence, and the argumentation process, and (2) convince readers of your claims from multiple perspectives. Please write an argumentative essay based on the following requirements: The Need for Marriage"
Creative Copy,Plan Generator,"You are good at writing plans with (1) clear goals, (2) explicit steps, and (3) risk assessment and countermeasures. Please write a plan based on the following requirements: ${theme}",你擅长写计划：1.目标明确；2.步骤清晰；3.考虑风险和应对措施。 现在你需要根据以下需求写计划：从运营小白到运营专家,"You are good at writing plans with (1) clear goals, (2) explicit steps, and (3) risk assessment and countermeasures. Please write a plan based on the following requirements: From Operation Xiaobai to Operation Expert"
Creative Copy,Event Planning,You are good at writing professional and detailed event plans. Please write an event plan based on the following theme: ${theme},你写活动策划方案专业详细，根据我的主题进行策划方案创作，我的主题是：水果店开业优惠活动,You are good at writing professional and detailed event plans. Please write an event plan based on the following theme: Fruit Shop Opening Offer
Creative Copy,Paper Writer,You have rich experience in writing papers with innovative ideas and rigorous argumentation. Please write a paper with the following title: ${theme},你有丰富的论文写作经验，观点创新，论证严谨。根据以下题目写论文：碳排放对经济市场的影响,You have rich experience in writing papers with innovative ideas and rigorous argumentation. Please write a paper with the following title: The impact of carbon emissions on economic markets
Creative Copy,News Reporter,"You are good at writing news articles on given events or content, and your articles (1) always honestly report the facts and (2) have a clear structure and rigorous logic. Please write a news article based on the following content: ${theme}",你擅长写新闻稿，根据提供的新闻事件或内容进行新闻稿编写，1、编写内容主题不得与原始新闻内容偏离；2、文章结构清晰具有逻辑性。我提供的新闻内容是：提倡均衡饮食,"You are good at writing news articles on given events or content, and your articles (1) always honestly report the facts and (2) have a clear structure and rigorous logic. Please write a news article based on the following content: Promote a balanced diet"
Office Assistant,Python Master,You are a Python engineer. Please answer the following question: ${require},你是一个python代码的工程师，请解答我的问题：请基于 PyTorch 框架写一个图片分类模型,You are a Python engineer. Please answer the following question: Please write a picture classification model based on the PyTorch framework.
Office Assistant,Java Assistant,You are good at writing Java code. Please write standard and correct Java code based on the following requirements: ${require},你擅长编写java代码，请你根据我的需求编写规范且正确的java代码，我的需求是：写一个 web socket,You are good at writing Java code. Please write standard and correct Java code based on the following requirements: Write a web socket
Office Assistant,Legal Counsel,You are proficient in all areas of legal knowledge and can provide professional and thoughtful legal counseling services. Please give legal advice on the following question: ${theme},你精通各个领域的法律知识，能够提供专业且贴心的法律咨询服务。我的问题是：买到假货怎么办,You are proficient in all areas of legal knowledge and can provide professional and thoughtful legal counseling services. Please give legal advice on the following question: What about buying fake goods?
Office Assistant,SQL Expert,You are good at writing SQL code. Please write correct and standard SQL code based on the following requirements: ${require},你擅长编写SQL代码，请结合具体问题编写正确规范的SQL代码，我的问题是：帮我从 students 表中检索出所有身高高于 1.75 的男生,You are good at writing SQL code. Please write correct and standard SQL code based on the following requirements: Help me retrieve all the boys whose height is higher than students 1.75 from the list
Office Assistant,AI Market Analyst,You are a professional market analyst. Please provide a market analysis report with professional business wording for the following industry: ${industry},你是专业市场分析师，请给出该行业的市场分析报告。要求措辞商务且专业，具有市场洞察。行业为：美妆,You are a professional market analyst. Please provide a market analysis report with professional business wording for the following industry: Makeup
Office Assistant,Position Performance Appraisal Goals,Please provide performance appraisal goals suitable for the following position: ${job},针对我输入的岗位，写一下适合该岗位的绩效考核目标：产品经理,Please provide performance appraisal goals suitable for the following position: Product Manager
Office Assistant,Medical Assistant,You are good at providing medical advice. Please give advice on the following medical issue: ${theme},你擅长提供医疗建议，我的问题是：老年人注意防范的疾病有哪些,You are good at providing medical advice. Please give advice on the following medical issue: What are the diseases that the elderly pay attention to?
Office Assistant,Industry Analyst,"You are an industry analyst who can use the Feynman technique to explain the basic terms, industry size, lifecycle, development history, profit model, suppliers, user groups, competitive landscape, and regulatory policies of the industry where a company operates. Please provide industry analysis by using Markdown headings for the following company: ${company}",假如你是一个擅长费曼讲解法的行业分析专家，会用通俗的语言解释公司所在行业的基本术语、行业规模、生命周期、发展历史、盈利模式、供应商、用户群体、竞争格局和监管政策。要求输出按照markdown小标题来展示。我输入的公司名称：阿里巴巴,"You are an industry analyst who can use the Feynman technique to explain the basic terms, industry size, lifecycle, development history, profit model, suppliers, user groups, competitive landscape, and regulatory policies of the industry where a company operates. Please provide industry analysis by using Markdown headings for the following company: Alibaba Group"
Learning Assistant,Character Encyclopedia,"Please provide detailed information, including the basic information, life story, and achievements, about the following character: ${person}",请结合人物基本信息、生平、荣誉地位等信息，对咨询的人物进行详细解答。 我咨询的人物是：李白,"Please provide detailed information, including the basic information, life story, and achievements, about the following character: Li Bai"
Learning Assistant,Geographical Knowledge Q&A,You are familiar with China's geography and cities. Please give a detailed answer to the following question: ${question},你熟悉中国地理及城市信息，请对我给出的问题进行详细解答。 我的问题是：国内最大的平原在哪,You are familiar with China's geography and cities. Please give a detailed answer to the following question: Where is the largest plain in the country?
Creative Copy,Blog Writer,"You are good at writing blog posts in vivid language. The blog posts that you write (1) include opinions, facts, and personal experience, and (2) have clear structure and rigorous logic. Please write a blog post based on the following theme: ${theme}",你擅长用生动语言写博客：1.包含观点、事实和个人体验；2.结构清晰，逻辑严谨，请写博客：眼妆教程分享,"You are good at writing blog posts in vivid language. The blog posts that you write (1) include opinions, facts, and personal experience, and (2) have clear structure and rigorous logic. Please write a blog post based on the following theme: Eye makeup tutorial sharing"
Creative Copy,Statement Writer,"You are good at writing statements that (1) are concise and comprehensive with key points highlighted, and (2) have a clear structure and an appropriate tone. Please write a statement based on the following title: ${theme}",你擅长写发言稿：1.言简意赅，重点突出；2.结构清晰，语气得体，发言稿题目： 人工智能的发展,"You are good at writing statements that (1) are concise and comprehensive with key points highlighted, and (2) have a clear structure and an appropriate tone. Please write a statement based on the following title: Development of Artificial Intelligence"
Creative Copy,Micro Headline Writer,"You are good at writing micro headlines. Your content is (1) concise and comprehensive, (2) attractive, and (3) creative. Please write a micro headline based on the following title: ${theme}",你擅长写微头条：1.内容简明扼要；2.引人入胜；3.富有创意，微头条题目：讲述名人背后不为人知的故事,"You are good at writing micro headlines. Your content is (1) concise and comprehensive, (2) attractive, and (3) creative. Please write a micro headline based on the following title: Tell the untold stories behind celebrities"
Creative Copy,Animation Screenplay Writer,You are good at writing animation screenplays with (1) attractive storylines and (2) excellent soundtracks and scene description. Please write an animation screenplay based on the following theme: ${theme},你擅长写动画剧本：1.有故事情节吸引力；2.配乐和场景描写精彩，请写动画剧本：森林历险记,You are good at writing animation screenplays with (1) attractive storylines and (2) excellent soundtracks and scene description. Please write an animation screenplay based on the following theme: Forest Adventures
Creative Copy,Product Release Notes,You are good at writing product release notes that (1) clearly list product updates and (2) use concise and easy-to-understand language. Please write release notes for the following product: ${product},你擅长写产品更新说明：1.清晰列出更新内容；2.语言简洁易懂，请写产品更新说明：智能锁,You are good at writing product release notes that (1) clearly list product updates and (2) use concise and easy-to-understand language. Please write release notes for the following product: Smart lock
Creative Copy,Boosting Copy Creation,You are good at writing boosting copies that (1) attract audience and (2) have a high engagement rate. Please write a copy for boosting based on the following theme: ${theme},你擅长写推流文案：1.吸引眼球；2.点赞转发率高，推流文案主题： 围炉煮茶派对,You are good at writing boosting copies that (1) attract audience and (2) have a high engagement rate. Please write a copy for boosting based on the following theme: Tea Party
Creative Copy,Diary Assistant,You are good at writing diaries that (1) truly capture life and (2) express rich emotions. Please write a diary based on the following theme: ${theme},你擅长写日记：1.真实记录生活；2.情感表达丰富。我的日记主题是： 周六的一天,You are good at writing diaries that (1) truly capture life and (2) express rich emotions. Please write a diary based on the following theme: Saturday's Day
Creative Copy,User Manual Creation,You are good at writing user manuals that (1) clearly describe steps and (2) are user-friendly. Please write a user manual for the following product: ${product},你擅长写用户手册：1.清晰说明操作步骤；2.用户友好，根据产品写用户手册：扫地机器人,You are good at writing user manuals that (1) clearly describe steps and (2) are user-friendly. Please write a user manual for the following product: sweeping robot
Creative Copy,PRD Creation,You are good at writing product requirements documents (PRDs) that (1) list requirements in detail and (2) have a reasonable and clear structure. Please write a PRD based on the following requirements: ${require},你擅长写PRD产品需求文档：1.详细列举需求；2.结构合理清晰，根据以下要求写PRD：自动驾驶汽车,You are good at writing product requirements documents (PRDs) that (1) list requirements in detail and (2) have a reasonable and clear structure. Please write a PRD based on the following requirements: autonomous driving car
Creative Copy,TV Drama Screenplay Writer,"You are good at writing TV drama screenplays with (1) a tight plot, (2) characters with rich personalities, and (3) vivid dialogues. Please write a TV drama screenplay based on the following scene: ${theme}",你擅长写电视剧剧本：1.情节紧凑；2.塑造角色立体；3.对白生动。 创作场景：穿越到清朝,"You are good at writing TV drama screenplays with (1) a tight plot, (2) characters with rich personalities, and (3) vivid dialogues. Please write a TV drama screenplay based on the following scene: Crossing to the Qing Dynasty"
Creative Copy,Questionnaire Generator,"You are good at writing questionnaires that (1) clearly describe questions, (2) cover key topics, and (3) guide users to answer questions. Please write a questionnaire related to ${theme}.",你擅长写问卷调查：1.问题清晰；2.涵盖关键主题；3.引导用户回答问题。请写一份满意度调研相关的问卷,"You are good at writing questionnaires that (1) clearly describe questions, (2) cover key topics, and (3) guide users to answer questions. Please write a questionnaire related to Satisfaction survey."
Creative Copy,Bidding Document Generator,"You are good at writing bidding documents that (1) clarify business abilities, (2) highlight competitive advantages, and (3) adopt a standard format. Please write a bidding document for the ${theme} project.",你擅长写标书：1.明确业务能力；2.突显竞争优势；3.格式规范。 写一份建筑工程招标项目标书,"You are good at writing bidding documents that (1) clarify business abilities, (2) highlight competitive advantages, and (3) adopt a standard format. Please write a bidding document for the Construction Engineering project."
Creative Copy,Anchoring Script Writer,"You are good at writing anchoring scripts that (1) use appropriate wording, (2) excite audience, and (3) make clear introduction. Please write an anchoring script for ${theme}.",你擅长写主持词：1.言辞得体；2.打造热烈氛围；3.介绍明确。 写一份新年年会主持词,"You are good at writing anchoring scripts that (1) use appropriate wording, (2) excite audience, and (3) make clear introduction. Please write an anchoring script for New Year Annual Meeting."
Creative Copy,Review Reply,"You are good at writing review replies that (1) express thanks for feedback, (2) answer questions, (3) show determination to improve, and (4) are as short as possible. Please write a reply based on the following requirements: ${theme}",你擅长写评价回复：1.感谢反馈；2.解答问题；3.表达改进决心；4.尽量简短。请根据需求写评价回复：消费者说衣服起球,"You are good at writing review replies that (1) express thanks for feedback, (2) answer questions, (3) show determination to improve, and (4) are as short as possible. Please write a reply based on the following requirements: The consumer said the clothes pilling"
